年份,作物类型,面积_公顷,单产_公斤每公顷,总产_吨
1985,大豆,1080.3,1056.9,1141.7
1986,麦类,3251.1,2680.8,8715.5
1986,水稻,755.7,4979.3,3763.0
1986,玉米,617.3,4956.8,3060.0
1986,高粱,930.4,3475.4,3233.5
1986,大豆,1409.4,1071.8,1510.5
1987,麦类,3917.5,4197.3,16443.1
1987,水稻,785.5,5288.1,4154.0
1987,玉米,1085.1,4095.3,4443.9
1987,高粱,419.3,3224.7,1352.0
1987,大豆,2049.5,916.4,1878.1
1988,麦类,4052.1,3508.2,14215.7
1988,水稻,1701.5,6043.1,10282.5
1988,玉米,918.5,3027.2,2780.5
1988,高粱,891.9,3486.3,3109.3
1988,大豆,1593.3,1455.8,2319.4
1989,麦类,3973.3,3524.6,14004.2
1989,水稻,2787.1,6198.8,17276.3
1989,玉米,193.0,3782.7,730.1
1989,高粱,153.2,3417.2,523.5
1989,大豆,2218.9,849.5,1884.9
1990,麦类,3832.5,4026.0,15429.5
1990,水稻,3448.2,4634.1,15979.3
1990,玉米,233.3,1938.9,452.4
1990,高粱,468.0,2248.4,1052.2
1990,大豆,1486.2,732.6,1088.8
1991,麦类,3456.2,3922.1,13555.4
1991,水稻,2448.4,6575.9,16100.3
1991,玉米,139.4,5861.4,817.1
1991,高粱,386.2,3422.3,1321.7
1991,大豆,985.2,1101.0,1084.7
1992,麦类,2766.7,4413.3,12210.0
1992,水稻,1500.0,6195.0,9300.0
1992,玉米,380.0,4530.0,1720.0
1992,高粱,61.7,4335.0,267.3
1992,大豆,1094.0,840.0,1200.0
1993,麦类,2133.3,4687.5,10000.0
1993,水稻,866.7,6630.0,5780.0
1993,玉米,133.3,4650.0,900.0
1993,高粱,266.7,4500.0,1200.0
1993,大豆,1666.7,1710.0,2850.0
1994,麦类,2133.3,4691.3,10008.0
1994,水稻,733.3,7130.0,5233.0
1994,玉米,163.3,6340.0,1036.0
1994,高粱,306.7,6170.0,1894.0
1994,大豆,1474.7,1810.0,2680.0
1995,麦类,2666.6,5250.5,14001.0
1995,水稻,2000.0,7500.0,15000.0
1995,玉米,733.3,5625.0,4125.0
1995,高粱,200.0,4500.0,900.0
1995,大豆,493.3,1899.0,937.0
1996,麦类,2667.0,5253.8,14012.0
1996,水稻,2200.0,8729.1,19204.0
1996,玉米,1333.0,3745.0,4992.0
1996,高粱,133.0,2459.0,327.0
1996,大豆,100.0,1860.0,186.0
1997,麦类,2000.0,5500.0,11000.0
1997,水稻,1333.0,10127.5,13500.0
1997,玉米,133.0,6315.8,840.0
1997,高粱,147.0,1904.8,280.0
1997,大豆,1000.0,1875.0,1875.0
1998,麦类,1927.5,4143.2,7986.0
1998,水稻,1201.0,8860.1,10641.0
1998,玉米,67.0,2209.0,148.0
1998,高粱,60.0,3666.7,220.0
1998,大豆,1321.0,1230.1,1625.0
1999,麦类,2676.0,6240.7,16700.0
1999,水稻,5705.0,7875.0,44927.0
1999,玉米,227.0,2114.0,480.0
1999,大豆,227.0,2114.0,480.0
2000,麦类,2747.0,5205.7,14300.0
2000,水稻,2600.0,6019.2,15650.0
2000,玉米,60.0,,,
2000,大豆,400.0,,,
2001,麦类,800.0,5625.0,4500.0
2001,水稻,1300.0,9692.3,12600.0
2002,麦类,2400.0,5125.0,12300.0
2002,水稻,3600.0,8250.0,29700.0
2003,麦类,2000.0,5312.5,10625.0
2003,水稻,2000.0,8625.0,17250.0
2004,麦类,2667.0,5788.5,15438.0
2004,水稻,2949.0,9375.0,27647.0
2005,麦类,4734.0,6426.8,30424.7
2005,水稻,5181.8,7875.0,40806.7
2006,麦类,7766.7,6227.9,48370.0
2006,水稻,7669.1,9750.0,71774.0
2007,麦类,8379.7,6504.7,54507.0
2007,水稻,8409.7,9000.0,75687.0
2007,玉米,20.0,6750.0,135.0
2008,麦类,10211.0,6130.6,62600.0
2008,水稻,10050.5,8954.8,90000.0
2008,玉米,110.0,7454.6,820.0
2008,大豆,93.0,2903.2,270.0
2009,麦类,10730.0,6222.7,66770.0
2009,水稻,10730.0,9599.6,103000.0
2009,玉米,66.0,7424.2,490.0
2010,麦类,10721.0,5681.4,60910.0
2010,水稻,10666.0,5396.4,57558.0
2011,麦类,10220.0,5600.3,57235.0
2011,水稻,10200.0,9015.5,91958.0
2011,玉米,52.0,6923.1,360.0
2012,麦类,10198.3,5736.7,58505.0
2012,水稻,10266.0,9412.5,96644.5
2013,麦类,10242.3,6388.1,65428.2
2013,水稻,10266.0,8316.0,85372.1
2014,麦类,10248.9,7510.6,76975.0
2014,水稻,10266.0,8974.5,92132.2
2015,麦类,10250.1,6909.3,70821.4
2015,水稻,10266.0,10279.5,105529.3
2016,麦类,10080.4,6567.7,66204.9
2016,水稻,10035.8,9537.0,95711.0
2017,麦类,10197.2,6065.6,61852.2
2017,水稻,9749.3,9405.6,91697.2
2017,玉米,11.4,4829.8,55.0
2017,大豆,27.2,1139.5,30.9
2018,麦类,9937.9,6874.6,68318.8
2018,水稻,9556.3,9611.3,91849.0
2018,玉米,12.9,6333.8,81.9
2018,大豆,26.0,1745.1,45.4
2019,麦类,9816.2,7707.6,75660.1
2019,水稻,9809.8,11469.5,112513.4
2019,玉米,6.9,5141.5,35.6
2019,大豆,25.6,1697.1,43.4
2020,麦类,10034.4,8288.3,83168.0
2020,水稻,10021.5,9448.0,94683.7
2020,玉米,13.1,2476.8,32.4
2020,大豆,13.3,1664.0,22.1
2021,麦类,10134.1,8396.6,85092.6
2021,水稻,10267.6,8714.1,89472.4
2022,麦类,9945.6,6152.7,61191.6
2022,水稻,7942.3,9508.4,75519.2
2022,玉米,2016.2,5605.5,11301.6
2022,大豆,2016.2,895.8,1806.1
2023,麦类,10082.0,8990.3,90639.8
2023,水稻,7626.2,9565.8,72950.7
2023,玉米,2466.7,9688.0,23897.3
2023,大豆,2466.7,254.7,628.2 
