grid_id,grid_name,date,year,month,day,doy,evi_mean,evi_std,stable_pixels,stable_land_pixels,total_pixels,stable_land_ratio,soyb_ratio,soyb_name,rice_ratio,rice_name,bean_ratio,bean_name,sugc_ratio,sugc_name,grou_ratio,grou_name,toba_ratio,toba_name,ofib_ratio,ofib_name,cott_ratio,cott_name,vege_ratio,vege_name,cass_ratio,cass_name,sugb_ratio,sugb_name,whea_ratio,whea_name,rape_ratio,rape_name,maiz_ratio,maiz_name,dominant_crop_code,dominant_crop_ratio,dominant_crop_name,crop_count,simpson_index,shannon_index
6,Grid6_稻谷主导,2001-06-10,2001,6,10,161,0.08910107667210443,0.05254490703158806,6130,6133,6480,94.64506172839506,2.293848371281644,大豆,24.414902554313958,稻谷,2.164006990118032,豆类,3.666432846506641,甘蔗,1.7951990822820778,花生,0.0,烤烟,1.2831643790288567,麻类,3.7331065061124926,棉花,9.117175454733362,蔬菜,1.4777335403075136,薯类,4.974279924051295,甜菜,23.406498596030055,小麦,15.087580166488642,油菜籽,6.586071588745429,玉米,rice,24.414902554313958,稻谷,13,0.1567205834142535,2.1201163207524236
6,Grid6_稻谷主导,2001-06-26,2001,6,26,177,0.37927391162563184,0.1017517430613429,6133,6133,6480,94.64506172839506,2.293848371281644,大豆,24.414902554313958,稻谷,2.164006990118032,豆类,3.666432846506641,甘蔗,1.7951990822820778,花生,0.0,烤烟,1.2831643790288567,麻类,3.7331065061124926,棉花,9.117175454733362,蔬菜,1.4777335403075136,薯类,4.974279924051295,甜菜,23.406498596030055,小麦,15.087580166488642,油菜籽,6.586071588745429,玉米,rice,24.414902554313958,稻谷,13,0.1567205834142535,2.1201163207524236
6,Grid6_稻谷主导,2001-07-12,2001,7,12,193,0.5257936572639818,0.11925412135236721,6133,6133,6480,94.64506172839506,2.293848371281644,大豆,24.414902554313958,稻谷,2.164006990118032,豆类,3.666432846506641,甘蔗,1.7951990822820778,花生,0.0,烤烟,1.2831643790288567,麻类,3.7331065061124926,棉花,9.117175454733362,蔬菜,1.4777335403075136,薯类,4.974279924051295,甜菜,23.406498596030055,小麦,15.087580166488642,油菜籽,6.586071588745429,玉米,rice,24.414902554313958,稻谷,13,0.1567205834142535,2.1201163207524236
6,Grid6_稻谷主导,2001-07-28,2001,7,28,209,0.6227373715962824,0.10532057462574058,6133,6133,6480,94.64506172839506,2.293848371281644,大豆,24.414902554313958,稻谷,2.164006990118032,豆类,3.666432846506641,甘蔗,1.7951990822820778,花生,0.0,烤烟,1.2831643790288567,麻类,3.7331065061124926,棉花,9.117175454733362,蔬菜,1.4777335403075136,薯类,4.974279924051295,甜菜,23.406498596030055,小麦,15.087580166488642,油菜籽,6.586071588745429,玉米,rice,24.414902554313958,稻谷,13,0.1567205834142535,2.1201163207524236
6,Grid6_稻谷主导,2001-08-13,2001,8,13,225,0.617689336376977,0.08672951639411537,6133,6133,6480,94.64506172839506,2.293848371281644,大豆,24.414902554313958,稻谷,2.164006990118032,豆类,3.666432846506641,甘蔗,1.7951990822820778,花生,0.0,烤烟,1.2831643790288567,麻类,3.7331065061124926,棉花,9.117175454733362,蔬菜,1.4777335403075136,薯类,4.974279924051295,甜菜,23.406498596030055,小麦,15.087580166488642,油菜籽,6.586071588745429,玉米,rice,24.414902554313958,稻谷,13,0.1567205834142535,2.1201163207524236
6,Grid6_稻谷主导,2001-08-29,2001,8,29,241,0.5480569052665906,0.09128387145786246,6133,6133,6480,94.64506172839506,2.293848371281644,大豆,24.414902554313958,稻谷,2.164006990118032,豆类,3.666432846506641,甘蔗,1.7951990822820778,花生,0.0,烤烟,1.2831643790288567,麻类,3.7331065061124926,棉花,9.117175454733362,蔬菜,1.4777335403075136,薯类,4.974279924051295,甜菜,23.406498596030055,小麦,15.087580166488642,油菜籽,6.586071588745429,玉米,rice,24.414902554313958,稻谷,13,0.1567205834142535,2.1201163207524236
6,Grid6_稻谷主导,2001-09-14,2001,9,14,257,0.4493733735529105,0.08747756696608426,6133,6133,6480,94.64506172839506,2.293848371281644,大豆,24.414902554313958,稻谷,2.164006990118032,豆类,3.666432846506641,甘蔗,1.7951990822820778,花生,0.0,烤烟,1.2831643790288567,麻类,3.7331065061124926,棉花,9.117175454733362,蔬菜,1.4777335403075136,薯类,4.974279924051295,甜菜,23.406498596030055,小麦,15.087580166488642,油菜籽,6.586071588745429,玉米,rice,24.414902554313958,稻谷,13,0.1567205834142535,2.1201163207524236
6,Grid6_稻谷主导,2001-09-30,2001,9,30,273,0.34711314201858795,0.07348824577135007,6133,6133,6480,94.64506172839506,2.293848371281644,大豆,24.414902554313958,稻谷,2.164006990118032,豆类,3.666432846506641,甘蔗,1.7951990822820778,花生,0.0,烤烟,1.2831643790288567,麻类,3.7331065061124926,棉花,9.117175454733362,蔬菜,1.4777335403075136,薯类,4.974279924051295,甜菜,23.406498596030055,小麦,15.087580166488642,油菜籽,6.586071588745429,玉米,rice,24.414902554313958,稻谷,13,0.1567205834142535,2.1201163207524236
6,Grid6_稻谷主导,2001-10-16,2001,10,16,289,0.23533194195336707,0.05834482510133095,6133,6133,6480,94.64506172839506,2.293848371281644,大豆,24.414902554313958,稻谷,2.164006990118032,豆类,3.666432846506641,甘蔗,1.7951990822820778,花生,0.0,烤烟,1.2831643790288567,麻类,3.7331065061124926,棉花,9.117175454733362,蔬菜,1.4777335403075136,薯类,4.974279924051295,甜菜,23.406498596030055,小麦,15.087580166488642,油菜籽,6.586071588745429,玉米,rice,24.414902554313958,稻谷,13,0.1567205834142535,2.1201163207524236
6,Grid6_稻谷主导,2001-11-01,2001,11,1,305,0.1998559269525518,0.03591865144707552,6133,6133,6480,94.64506172839506,2.293848371281644,大豆,24.414902554313958,稻谷,2.164006990118032,豆类,3.666432846506641,甘蔗,1.7951990822820778,花生,0.0,烤烟,1.2831643790288567,麻类,3.7331065061124926,棉花,9.117175454733362,蔬菜,1.4777335403075136,薯类,4.974279924051295,甜菜,23.406498596030055,小麦,15.087580166488642,油菜籽,6.586071588745429,玉米,rice,24.414902554313958,稻谷,13,0.1567205834142535,2.1201163207524236
